title,artist(s),release,num_of_streams,bpm,key,mode,danceability,valence,energy,acousticness,instrumentalness,liveness,speechiness
Me Arrepentï¿,Ak4:20 . Cris Mj . Pailita,2022,118381354,92,unknown,Major,86,91,79,29,0,60,16
Never Felt So Alone,Labrinth,2023,117747907,98,F,Major,44,36,41,50,0,38,5
REMIX EXCLUSIVO,Feid,2023,117206995,87,F,Minor,65,71,56,4,0,15,20
Gasoline,The Weeknd,2022,116903579,123,F-sharp,Minor,74,35,73,0,0,21,5
on the street (with J. Cole),j-hope . J. Cole,2023,116599790,94,B,Minor,68,81,82,53,0,9,13
Dijeron Que No La Iba Lograr,Fuerza Regida . Chino Pacas,2023,116334601,142,G,Minor,70,76,79,26,0,11,7
Popular (with Playboi Carti & Madonna) - The Idol Vol. 1 (Music from the HBO Original Series),The Weeknd . Madonna . Playboi Carti,2023,115364561,99,C-sharp,Major,85,83,68,7,0,36,20
Poland,Lil Yachty,2022,115331792,150,F,Minor,70,26,56,14,83,11,5
For Youth,BTS,2022,114546317,117,D,Major,63,29,51,43,0,25,4
Area Codes,Kaliii . Kaliii,2023,113509496,155,C-sharp,Major,82,51,39,2,0,9,49
Privileged Rappers,Drake . 21 Savage,2022,112436403,144,F,Major,93,62,61,0,0,12,20
Tï¿½ï¿,dennis . MC Kevin o Chris,2023,111947664,130,B,Major,86,59,96,50,1,9,5
Love Language,SZA,2022,110849052,65,A,Minor,71,55,26,85,0,13,8
Raindrops (Insane) [with Travis Scott],Travis Scott . Metro Boomin,2022,110649992,112,G-sharp,Major,80,15,54,9,0,38,5
Ghost in the Machine (feat. Phoebe Bridgers),SZA . Phoebe Bridgers,2022,110073250,125,F-sharp,Major,62,59,43,84,3,11,5
Calling (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee . NAV . feat. A Boogie Wit da Hoodie),Swae Lee . A Boogie Wit da Hoodie . Metro Boomin . NAV,2023,109276132,140,unknown,Major,63,22,54,46,0,12,8
Thinking with My Dick,Kevin Gates . Juicy J,2013,109091573,81,unknown,Major,77,68,70,6,0,17,20
El Cielo,Feid . Myke Towers . Sky Rompiendo,2023,107753850,106,A-sharp,Minor,72,17,64,7,0,10,5
Sugar Rush Ride,TOMORROW X TOGETHER,2023,107642809,125,A-sharp,Minor,71,83,89,1,0,17,9
City of Gods,Kanye West . Alicia Keys . Fivio Foreign,2022,107255472,147,G-sharp,Minor,47,50,80,10,0,32,38
Sigue,Ed Sheeran . J Balvin,1996,106933107,88,G,Major,89,59,64,5,0,19,7
Honest (feat. Don Toliver),Justin Bieber . Don Toliver,2022,106919680,150,G-sharp,Minor,82,82,66,13,0,11,6
Broke Boys,Drake . 21 Savage,2022,106249219,120,D,Major,64,11,53,1,0,25,27
Private Landing (feat. Justin Bieber & Future),Don Toliver . Future . Justin Bieber,2023,105062254,137,C-sharp,Minor,84,44,67,8,0,11,6
Princess Diana (with Nicki Minaj),Nicki Minaj . Ice Spice,2023,104992946,148,A,Major,90,74,68,14,0,10,19
I'm Not Here To Make Friends,Sam Smith . Calvin Harris . Jessie Reyez,2023,103787664,115,unknown,Major,70,84,90,17,0,41,6
Right On,Lil Baby,2022,101780047,166,D,Major,70,22,61,2,0,10,34
Best Friends,The Weeknd,2022,101114984,87,E,Minor,49,49,59,44,0,35,21
Seek & Destroy,SZA,2022,98709329,152,C-sharp,Major,65,35,65,44,18,21,7
"Come Back Home - From ""Purple Hearts""",Sofia Carson,2022,97610446,145,G,Major,56,43,53,24,0,12,4
Queencard,(G)I-DLE,2023,96273746,130,E,Minor,82,69,83,3,0,27,5
Double Fantasy (with Future),The Weeknd . Future,2023,96180277,119,A,Minor,60,10,57,1,0,50,3
Alone,Burna Boy,2022,96007391,90,E,Minor,61,32,67,15,0,11,5
People Pt.2 (feat. IU),IU . Agust D,2023,95816024,89,G,Minor,73,44,57,39,0,32,6
Everything I Love,Morgan Wallen,2023,95623148,104,G-sharp,Major,56,72,85,0,0,15,3
fukumean,Gunna,2023,95217315,130,C-sharp,Minor,85,22,62,12,0,28,9
What It Is (Solo Version),Doechii,2023,95131998,172,C-sharp,Minor,74,76,76,6,0,10,9
Bye,Peso Pluma,2023,95053634,122,unknown,Major,78,70,81,57,0,10,5
Residente: Bzrp Music Sessions . Vol. 49,Residente . Bizarrap,2022,94616487,71,C-sharp,Minor,59,70,74,56,0,11,40
Am I Dreaming (Metro Boomin & A$AP Rocky . Roisee),A$AP Rocky . Metro Boomin . Roisee,2023,94186466,90,A,Minor,60,13,53,4,0,21,4
Used (feat. Don Toliver),SZA . Don Toliver,2022,94005786,150,A-sharp,Minor,73,71,69,53,0,32,9
BackOutsideBoyz,Drake,2022,93367537,142,F,Minor,85,40,43,4,0,39,32
UNFORGIVEN (feat. Nile Rodgers),Nile Rodgers . LE SSERAFIM,2023,92035115,104,E,Minor,80,38,88,11,0,11,5
So Good,Halsey,2022,91781263,83,D-sharp,Minor,63,29,62,4,0,18,4
I Heard You're Married (feat. Lil Wayne),The Weeknd . Lil Wayne,2022,91656026,110,D,Major,75,85,84,10,0,31,19
My Mind & Me,Selena Gomez,2022,91473363,144,A,Major,60,24,39,57,0,8,3
Super,SEVENTEEN,2023,91221625,137,G-sharp,Major,77,35,88,16,0,17,9
VAGABUNDO,Sebastian Yatra . Manuel Turizo . Beï¿½ï,2023,90839753,127,B,Minor,82,89,85,4,0,23,6
Abcdario,Junior H . Eden Muï¿½ï,2023,89933133,129,G-sharp,Major,70,42,43,78,0,11,3
Chance,Paulo Londra,2022,89566512,138,C-sharp,Minor,72,22,46,24,0,9,6
Special,SZA,2022,88092256,76,unknown,Major,60,19,20,78,0,11,5
Annihilate (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee . Lil Wayne . Offset),Swae Lee . Lil Wayne . Offset . Metro Boomin,2023,86773632,146,B,Minor,61,20,48,21,0,12,6
LADY GAGA,Gabito Ballesteros . Junior H . Peso Pluma,2023,86444842,140,F,Minor,65,87,74,22,0,42,4
Savior,Kendrick Lamar . Sam Dew . Baby Keem,2022,86176890,123,G-sharp,Major,61,66,71,53,0,32,46
Hot Shit (feat. Ye & Lil Durk),Kanye West . Lil Durk . Cardi B,2022,85924992,157,A,Major,88,52,69,0,0,8,23
California Breeze,Lil Baby,2022,85559365,162,F,Minor,74,22,67,0,0,11,46
Bye Bye,Marshmello . Juice WRLD,2022,84697729,83,D-sharp,Minor,65,24,53,6,0,51,4
I Wrote The Book,Morgan Wallen,2023,83021468,144,D,Major,68,83,81,9,0,8,4
Red Ruby Da Sleeze,Nicki Minaj,2023,81419389,98,C-sharp,Major,70,29,73,12,0,11,26
Do We Have A Problem?,Nicki Minaj . Lil Baby,2022,81350745,120,C-sharp,Minor,84,54,51,47,0,12,40
DOGTOOTH,Tyler . The Creator,2023,80758350,78,G-sharp,Major,71,80,65,51,0,22,32
Born Singer,BTS,2022,79095270,158,G-sharp,Minor,60,68,84,4,0,24,11
